[20:18:08] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[20:18:08] [INIT] Loaded plugins:
[20:18:08] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[20:18:08] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[20:18:08] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/telekinesis.js#4: Loaded Java class 'net.minecraft.core.registries.Registries'
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/telekinesis.js#5: Loaded Java class 'net.minecraft.tags.TagKey'
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/telekinesis.js in 0.013 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/store_armour.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/stone_index.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/stone_detection.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/sonic_deafening.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/shock_effect.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/power_selected.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/persistent_data_condition.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/null_persistent_data_condition.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/month_condition.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/knockback.js in 0.109 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/key_condition.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/items.js in 0.002 s
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/get_energy_condition.js#2: Loaded Java class 'net.threetag.palladium.compat.curiostinkets.CuriosTrinketsUtil'
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/get_energy_condition.js#3: Loaded Java class 'net.threetag.palladium.energy.EnergyHelper'
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/get_energy_condition.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/freeze_effect.js in 0.0 s
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/effect_condition.js#6: Loaded Java class 'net.minecraft.core.registries.BuiltInRegistries'
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/effect_condition.js in 0.003 s
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/dynamic_pehkui_scale.js#1: Loaded Java class 'net.threetag.palladium.util.SizeUtil'
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/dynamic_pehkui_scale.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/drain_per_tick.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/drain_accessory_energy.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/does_accessory_have_energy.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/does_accessory_exist.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_conditions/uuid_condition.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_conditions/main_hand_condition.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/snazzier_attribute_ability.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/setppbyscore.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/projectile_script.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/no_burn.js in 0.005 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/movement.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/explosion.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/charged_knockback.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/aoe_knockback.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/depricated_abilities/aoe_damage.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/date_condition.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/compare_accessory_energy.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/camera.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/burning_effect.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_grave.core:kubejs_scripts/blocks.js in 0.001 s
[20:18:09] [INFO] Loaded 132/132 KubeJS startup scripts in 0.937 s with 0 errors and 0 warnings
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#6: Loaded Java class 'net.minecraft.world.phys.HitResult'
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#7: Loaded Java class 'net.minecraft.world.entity.decoration.ArmorStand'
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#8: Loaded Java class 'net.minecraft.world.entity.boss.enderdragon.EndCrystal'
[20:18:14] [INFO] addonpack_alienevo:kubejs_scripts/glow_crystals.js#3: Loaded Java class 'dev.latvian.mods.kubejs.item.custom.BasicItemJS$Builder'
